"LL.1"	"LL.2"	"LL.3"	"MM.1"	"MM.2"	"MM.3"
"ECs_0211"	2339	2195	2494	2547	2918	3923
"aspV"	251	288	316	291	225	230
"ECs_5700"	517	421	500	153	207	262
"ECs_0212"	16	15	29	15	14	18
"ECs_0213"	16	12	13	11	7	11
"ECs_0214"	29	31	26	13	7	21
"ECs_0215"	4	0	9	0	4	4
"ECs_0216"	17	13	9	10	11	8
"ECs_0217"	247	222	306	232	286	301
"ECs_0218"	336	379	483	373	383	440
"ECs_0219"	114	122	183	184	164	194
"ECs_0222"	6	15	17	11	6	12
"ECs_0223"	122	144	190	243	158	192
"ECs_0224"	105	84	89	98	99	153
"ECs_0225"	299	268	323	308	394	441
"ECs_0226"	35	28	42	49	54	90
"ECs_0227"	74	77	111	128	102	125
"ECs_0228"	53	53	71	83	84	98
"ECs_0229"	194	199	223	263	308	378
"ECs_0230"	78	79	88	97	109	129
"ECs_0231"	253	170	205	206	196	338
"ECs_0232"	25	26	23	16	24	30
"ECs_0233"	184	134	177	139	142	217
"ECs_0234"	94	86	115	88	117	178
"ECs_0236"	91	70	81	121	103	169
"ECs_0237"	394	486	657	474	380	483
"ECs_0238"	96	89	75	73	125	120
"ECs_0241"	40	37	44	18	26	46
"ECs_0242"	176	211	272	336	323	410
"ECs_0243"	0	0	0	1	1	1
"ECs_0244"	18	14	12	11	10	19
"ECs_0245"	79	63	64	84	83	130
"ECs_0246"	383	370	408	741	876	1216
"ECs_0247"	208	142	133	1046	1164	1540
"ECs_0248"	591	642	735	2463	2566	2688
"ECs_0249"	1064	1015	1346	2202	2315	2852
"ECs_0250"	1225	1195	1426	1595	2064	2546
"ECs_0251"	4753	4450	5393	3081	3555	5011
"ECs_0252"	535	425	576	536	616	910
"ECs_0253"	600	550	728	934	1069	1468
"ECs_0254"	91	80	103	142	131	194
"ECs_0255"	153	134	176	280	340	422
"ECs_0256"	86	113	115	137	122	151
"ECs_0257"	44	32	26	32	30	40
"ECs_0258"	273	275	291	351	323	472
"ECs_0259"	82	83	104	91	128	189
"ECs_0260"	74	75	74	96	90	153
"ECs_0261"	70	53	55	53	66	77
"ECs_0262"	20	12	18	12	20	20
"ECs_0263"	309	334	354	245	329	386
"ECs_0264"	9660	8808	10191	16379	18505	23971
"ECs_0265"	9867	8031	8957	6338	4758	10014
"ECs_0266"	2119	1844	2152	1685	1543	2483
"ECs_0267"	3544	2900	2193	4611	4870	6771
"ECs_0268"	355	328	208	186	206	196
"ECs_0269"	2007	2096	2595	2854	2937	3202
"ECs_0270"	2092	2097	2473	3374	3383	3727
"thrW"	48	44	53	56	72	89
"ECs_0271"	1334	1210	1347	1209	1311	1449
"ECs_0272"	50	48	43	52	66	44
"ECs_0273"	922	988	1222	1048	1186	1852
"ECs_0274"	6052	5899	7498	7530	9233	12880
"ECs_0275"	42	44	63	25	36	38
"ECs_0276"	132	120	100	32	37	50
"ECs_0277"	35	37	24	36	54	66
"ECs_0279"	2	1	2	8	6	15
"ECs_0280"	36	32	31	33	51	68
"ECs_0281"	24	25	29	24	31	46
"ECs_0282"	14	17	16	10	11	23
"ECs_0283"	22	6	19	11	13	19
"ECs_0284"	98	58	81	51	59	105
"ECs_0285"	2127	1685	2127	1470	1522	2350
"ECs_0287"	34	25	38	44	44	68
"ECs_0288"	64	56	47	52	63	83
"ECs_0289"	138	122	111	190	181	308
"ECs_0290"	3	1	2	5	9	12
"ECs_0291"	3	2	3	5	4	11
"ECs_0292"	2	0	2	3	4	4
"ECs_0293"	11	13	13	25	21	40
"ECs_0296"	127	109	129	118	135	162
"ECs_0297"	82	64	70	80	77	134
"ECs_0298"	23	16	29	28	16	48
"ECs_0299"	13	8	9	11	5	20
"ECs_0300"	153	216	280	111	113	120
"ECs_0301"	16	12	10	7	5	11
"ECs_0302"	103	66	90	103	94	126
"ECs_0303"	461	329	449	485	474	743
"ECs_0304"	487	402	501	192	211	365
"ECs_0305"	401	350	440	399	508	709
"ECs_0306"	71	70	79	106	127	167
"ECs_0307"	5	7	8	8	6	8
"ECs_0309"	628	528	691	469	532	616
"ECs_0310"	69	49	64	103	97	166
"ECs_0311"	113	102	151	212	178	211
"ECs_0313"	110	91	133	322	260	390
"ECs_0314"	61	82	99	869	562	713
"ECs_0315"	13	9	23	198	146	142
"ECs_0316"	52	40	38	594	612	575
"ECs_0317"	681	518	452	118	120	178
"ECs_0319"	138	137	183	206	228	343
"ECs_0320"	400	425	545	514	560	715
"ECs_0321"	526	531	884	735	731	1147
"ECs_0322"	159	166	372	192	150	320
"ECs_0323"	415	416	659	335	389	753
"ECs_0324"	169	170	292	164	171	340
"ECs_0326"	26	20	29	14	6	27
"ECs_5701"	17	20	22	32	26	62
"ECs_0327"	126	142	173	226	182	368
"ECs_0328"	15	12	18	10	8	15
"ECs_0329"	0	0	0	0	0	0
"ECs_0330"	18	13	14	17	7	20
"ECs_0331"	42	43	41	29	26	55
"ECs_0332"	126	88	99	164	151	287
"ECs_0333"	308	262	300	347	433	659
"ECs_0334"	358	356	438	296	380	450
"ECs_0335"	67	55	67	123	113	153
"ECs_0336"	322	242	304	295	271	475
"ECs_0337"	580	478	604	1067	1267	1969
"ECs_0338"	147	115	127	465	467	826
"ECs_0340"	29	11	18	24	27	72
"ECs_0342"	49	50	41	618	549	1048
"ECs_0343"	127	112	147	174	160	290
"ECs_0344"	48	43	50	140	111	193
"ECs_0345"	116	55	72	251	219	366
"ECs_0346"	81	51	42	100	65	152
"ECs_0348"	8	3	2	2	4	9
"ECs_0349"	7	7	3	5	4	12
"ECs_0350"	24	9	13	14	12	38
"ECs_0351"	28	27	17	33	35	64
"ECs_0352"	61	52	55	61	58	90
"ECs_0355"	63	47	41	36	34	71
"ECs_0356"	4	0	0	0	0	3
"ECs_0357"	811	869	772	513	445	522
"ECs_0358"	789	1049	1102	740	587	519
"ECs_0359"	565	598	447	257	353	335
"ECs_0360"	1281	1161	903	960	849	1322
"ECs_0362"	440	328	359	547	511	905
"ECs_0363"	372	347	389	566	554	834
"ECs_0364"	191	175	219	488	507	757
"ECs_0366"	5	3	7	4	0	15
"ECs_0367"	19	15	25	48	54	74
"ECs_0368"	7	11	12	7	9	28
"ECs_0369"	33	26	32	43	31	51
"ECs_0370"	18	26	41	269	179	163
"ECs_0371"	15	19	23	128	177	221
"ECs_0372"	44	49	54	63	83	109
"ECs_0373"	129	142	213	244	224	191
"ECs_5377"	18	14	16	57	37	68
"ECs_0374"	123	124	161	310	360	525
"ECs_0375"	178	166	178	290	322	496
"ECs_0377"	139	118	122	194	192	280
"ECs_0378"	1152	1072	1278	1369	1555	2082
"ECs_0379"	886	852	1037	5394	4991	7487
"ECs_0380"	46	54	39	37	35	63
"ECs_0382"	78	62	71	171	221	285
