"LL.1"	"LL.2"	"LL.3"	"MM.1"	"MM.2"	"MM.3"
"ECs_2814"	183	178	145	2132	2885	5708
"ECs_2815"	495	350	395	6318	6897	18044
"ECs_2816"	21750	18218	19968	13829	11759	22929
"ECs_2817"	544	423	553	1051	961	1794
"ECs_2818"	1600	1254	1880	2728	3148	4586
"ECs_2819"	98	117	182	267	457	568
"ECs_2820"	848	722	1314	3578	3252	5155
"ECs_2821"	441	371	838	2287	1979	2516
"ECs_2822"	539	548	882	2459	2588	3132
"ECs_2823"	838	694	1071	3085	3328	4864
"ECs_2824"	299	321	422	1246	1127	1820
"ECs_2825"	401	424	663	1596	1246	2046
"ECs_2826"	545	508	815	2057	1766	3035
"ECs_2827"	1094	1187	1450	3020	3214	4567
"ECs_2828"	13587	11248	12598	11572	12269	16843
"ECs_2829"	2947	2769	3063	3036	3659	4646
"ECs_2830"	15453	14179	16287	24910	27486	37184
"ECs_2831"	2296	1866	2196	1925	1806	3119
"ECs_2835"	15269	16343	21295	13373	14705	15643
"ECs_2836"	12883	11413	13011	9317	11734	15028
"ECs_2837"	2694	2333	2642	2217	2825	3761
"ECs_2838"	8670	8159	9440	7248	9662	11715
"ECs_2839"	11634	10463	12216	11362	15136	18441
"ECs_2840"	1801	1235	1412	1643	1397	3063
"ECs_2841"	5934	5352	6224	7413	8988	12161
"ECs_2842"	2089	1744	2087	1573	1826	2827
"ECs_2843"	1373	1172	1336	1217	1171	1989
"ECs_2844"	2298	1647	2078	1675	1603	2853
"ECs_2845"	1691	1277	1513	1624	1597	2865
"ECs_2846"	6133	5441	6223	12824	13068	17950
"ECs_2847"	14987	12530	13598	14845	14694	25032
"ECs_2848"	257	204	262	453	324	1031
"ECs_2849"	206	188	301	409	323	808
"ECs_2850"	318	277	448	577	561	1133
"ECs_2851"	278	234	357	346	238	624
"ECs_2852"	373	292	425	368	317	733
"ECs_2853"	381	312	466	524	426	887
"ECs_2854"	269	234	311	453	340	742
"ECs_2855"	212	156	249	182	134	213
"ECs_2856"	100	103	140	126	72	157
"ECs_2857"	380	351	516	456	327	555
"ECs_2858"	780	651	740	745	724	1271
"ECs_2859"	198	156	165	117	115	162
"ECs_2860"	263	252	255	179	209	311
"ECs_2861"	340	285	320	237	259	429
"ECs_2862"	201	147	167	152	149	245
"ECs_2863"	40	39	41	36	35	55
"ECs_2864"	261	223	257	185	214	272
"ECs_2865"	659	606	590	435	515	655
"ECs_2866"	51	56	65	43	56	54
"ECs_2867"	378	326	325	277	333	333
"ECs_2868"	3221	2855	3447	2342	2804	3542
"ECs_2869"	574	465	573	648	907	1018
"ECs_2870"	351	335	435	514	609	832
"ECs_2871"	4344	3885	4835	4309	4382	5821
"ECs_2872"	2887	2816	3740	2354	2451	3314
"ECs_2873"	6008	5357	5937	2989	3406	4871
"ECs_2874"	739	755	824	1603	1681	2101
"ECs_2877"	288	249	369	686	662	985
"ECs_2878"	8191	8873	12609	2740	2751	3534
"ECs_2879"	714	704	931	572	658	802
"ECs_2880"	111	89	104	118	94	190
"ECs_2881"	111	81	80	105	128	183
"ECs_2882"	414	416	512	623	677	808
"ECs_2883"	821	856	1096	1210	1233	1379
"ECs_2884"	597	583	696	804	736	959
"ECs_2885"	306	276	311	454	394	538
"ECs_2886"	292	306	365	577	528	675
"ECs_2887"	361	391	409	849	807	1064
"ECs_2888"	107	69	96	724	876	1131
"ECs_2889"	3922	3182	3918	2147	1942	3537
"ECs_2891"	28	14	11	18	19	44
"ECs_2892"	309	319	336	3339	3712	4829
"ECs_2893"	946	864	1007	906	999	1452
"ECs_2894"	110	106	99	108	108	176
"ECs_2895"	125	88	117	161	131	264
"ECs_2896"	4	3	5	5	4	8
"ECs_2897"	6	3	4	14	11	17
"ECs_2898"	53	31	52	81	61	137
"ECs_2899"	24	18	30	40	59	77
"ECs_2900"	427	382	405	16093	13842	25455
"ECs_2901"	178	121	179	176	197	301
"ECs_2902"	145	140	199	284	253	285
"ECs_2903"	274	280	343	417	388	432
"ECs_2904"	659	566	676	617	632	848
"ECs_2905"	550	379	478	243	273	340
"ECs_2906"	1257	1206	1537	1009	984	1220
"ECs_2907"	2438	2256	2443	1822	2001	2557
"ECs_2908"	393	314	397	329	371	495
"ECs_2909"	86	64	76	53	66	76
"ECs_2910"	266	241	282	189	219	350
"ECs_2911"	562	421	511	458	436	953
"ECs_2912"	527	441	570	272	275	578
"ECs_2913"	948	1000	1215	933	996	1082
"ECs_2914"	66	46	44	49	58	79
"ECs_2915"	75	52	63	100	84	126
"ECs_2916"	11	17	13	11	9	16
"ECs_2917"	19	15	22	19	21	20
"ECs_2918"	553	489	563	676	771	1100
"ECs_2919"	9272	8528	10201	7837	9036	11031
"ECs_2920"	15435	14650	17056	15179	17015	22466
"ECs_2921"	780	646	759	642	682	1004
"ECs_2925"	344	319	333	294	346	499
"ECs_2926"	39	32	36	35	40	34
"ECs_2927"	262	236	270	136	122	158
"ECs_2928"	390	336	413	322	326	411
"ECs_2930"	71	80	70	101	98	110
"ECs_2931"	276	270	308	308	314	358
"ECs_2932"	0	0	0	0	0	0
"ECs_2933"	68	64	88	38	51	77
"ECs_2934"	361	362	394	261	249	427
"ECs_2935"	2206	2038	2268	1806	1950	2766
"ECs_2936"	232	174	235	471	407	729
"ECs_2937"	490	435	526	1553	1600	2380
"ECs_2939"	1245	1118	1028	2272	2221	2639
"ECs_2940"	276	273	182	420	450	405
"ECs_2941"	209	229	210	545	408	279
"ECs_2942"	122	156	92	277	278	121
"ECs_2943"	63	32	38	79	99	59
"ECs_2944"	0	0	0	0	0	0
"ECs_2945"	0	0	0	0	0	0
"ECs_2946"	0	0	0	0	0	0
"ECs_2947"	0	0	0	0	0	0
"ECs_2948"	0	0	0	0	0	0
"ECs_2949"	216	209	174	324	354	367
"ECs_2950"	39	23	20	48	57	74
"ECs_2951"	41	22	24	75	74	96
"ECs_2952"	38	41	24	30	65	43
"ECs_2953"	26	14	12	44	46	48
"ECs_2954"	35	27	31	61	74	43
"ECs_2955"	5	7	12	28	16	9
"ECs_2956"	15	17	9	35	47	22
"ECs_2957"	126	88	50	207	236	148
"ECs_2958"	5	16	3	7	17	10
"ECs_2959"	0	0	0	0	0	0
"ECs_2960"	490	405	436	612	736	679
"ECs_2961"	337	315	258	570	592	539
"ECs_2962"	2	6	8	33	15	13
"ECs_2963"	290	298	278	506	507	389
"ECs_2964"	41	30	27	72	82	67
"ECs_2965"	73	63	60	93	103	132
"ECs_2966"	0	0	0	0	0	0
"ECs_5741"	0	0	0	0	0	0
"ECs_2967"	1	0	0	0	0	0
"ECs_2968"	0	0	0	0	0	0
"ECs_2969"	14	10	12	23	17	14
"ECs_2970"	66	84	175	162	101	92
"ECs_2971"	58	66	74	62	71	96
"ECs_2972"	821	807	734	1058	1046	881
"ECs_2973"	543	405	460	653	405	1166
"ECs_2974"	4715	4368	6097	4188	4512	7862
"ECs_2975"	67	42	27	91	58	70
"ECs_2976"	3	0	0	1	3	2
"ECs_2977"	189	183	80	295	295	130
"ECs_2978"	5	8	6	8	14	4
"ECs_2979"	79	60	37	109	116	69
"ECs_2980"	1	2	0	2	4	1
"ECs_2981"	236	166	85	356	306	185
"ECs_2982"	68	63	31	108	76	70
"ECs_2983"	0	0	0	1	0	0
"ECs_5742"	93	56	31	126	85	63
"ECs_2984"	129	71	44	171	103	115
"ECs_2985"	551	499	230	937	924	498
"ECs_2986"	2646	2363	1170	4392	4585	2368
"ECs_2987"	2419	2526	1352	3969	4382	2285
"ECs_2988"	1925	1951	1155	2808	3351	1987
"ECs_2989"	2775	2960	1835	4333	5460	3426
"ECs_2990"	3227	2572	3145	2858	2706	4678
"ECs_2991"	1240	1132	1286	1336	1456	2272
"ECs_2992"	3733	3400	3915	4880	5917	7973
"ECs_2993"	4845	5015	2395	6704	8017	3780
"ECs_2995"	11745	12318	5982	17167	21317	9471
"ECs_2996"	3398	3304	1738	4805	5435	3094
"ECs_2997"	37	38	17	56	73	44
"ECs_2998"	338	316	165	472	652	348
"ECs_3000"	1604	1529	778	2498	2949	1452
"ECs_3001"	3758	3486	1773	5686	6618	3171
"ECs_3002"	2781	2400	1197	4063	4360	2535
"ECs_3003"	66	79	41	99	142	96
"ECs_3004"	58	44	24	73	83	39
"ECs_3005"	228	237	190	366	456	294
"ECs_3006"	336	295	208	548	597	438
"ECs_3007"	1767	1469	1144	2730	2949	2513
"ECs_3008"	361	295	257	557	565	570
"ECs_3009"	798	647	588	1260	1243	1274
"ECs_3010"	742	575	499	1163	1217	1200
"ECs_3011"	449	379	325	702	750	722
"ECs_5743"	55	45	30	72	87	81
"ECs_3012"	415	380	309	593	708	630
"ECs_3013"	7096	6885	6902	8267	10410	10352
"ECs_3014"	401	373	468	786	884	1156
"ECs_3015"	1161	1361	1630	1795	1896	2212
"ECs_3016"	215	176	264	1243	920	1654
"ECs_3017"	199	240	343	1782	1319	1626
"ECs_3018"	332	302	384	3042	2967	3870
"ECs_3019"	3138	2768	3270	3530	3710	5035
"ECs_3020"	3426	3031	4071	7673	9307	11684
"ECs_3021"	1726	1752	1947	1302	1466	1832
"ECs_3022"	139	151	219	895	914	1086
"ECs_3023"	602	556	711	1419	1664	2276
"ECs_3024"	144	129	182	422	358	548
"ECs_3025"	174	151	280	279	266	361
"ECs_3026"	1776	1589	1928	1126	1041	1378
"ECs_3027"	373	399	522	1380	1202	1595
"ECs_3028"	56	55	79	172	156	147
"ECs_3029"	88	92	100	251	256	295
"ECs_3030"	72	78	87	201	189	217
"ECs_3031"	114	136	182	392	342	327
"ECs_3032"	330	384	386	750	873	1145
"ECs_3033"	956	826	1025	796	1041	642
"ECs_3034"	759	690	893	658	851	607
"ECs_3035"	758	644	826	1691	1614	1176
"ECs_3036"	355	329	357	290	365	506
"ECs_3037"	54	43	77	36	52	93
"ECs_3038"	126	113	149	234	251	409
"ECs_3039"	125	95	120	221	175	340
"ECs_3040"	83	74	68	414	221	501
"ECs_3041"	93	65	63	853	788	1184
"ECs_3042"	156	145	162	2913	2854	3934
"ECs_3043"	397	373	437	1028	1430	1484
"ECs_3044"	1293	1247	1464	2529	4423	4299
"ECs_3045"	4241	4142	4627	11091	21814	19616
"ECs_3046"	1360	1298	1635	2696	2908	4025
"ECs_3047"	774	666	865	1110	1167	1402
"ECs_3048"	6014	5210	5041	4258	3806	6309
"ECs_3049"	991	924	792	544	570	1035
"ECs_3050"	1247	984	894	805	594	1352
"ECs_3051"	1488	1250	1511	2156	2095	2673
"ECs_3052"	1221	1013	1185	1282	1440	2066
"ECs_3053"	92	76	79	101	116	184
"ECs_3054"	51	37	48	49	63	62
"ECs_3055"	34	26	28	55	77	87
"ECs_3056"	142	146	144	185	207	294
"ECs_3057"	43	27	31	50	67	60
"ECs_3058"	28	22	15	26	26	42
"ECs_3059"	2119	1379	1633	1811	1136	2801
"ECs_3060"	1149	778	946	969	1197	1570
"ECs_3061"	2266	2307	3391	2284	2676	2095
"ECs_3062"	1703	1902	2222	689	710	926
"ECs_5744"	829	782	901	599	652	880
"ECs_3063"	4581	4819	6094	3130	3144	4774
"ECs_3064"	589	499	584	1646	1514	2258
"ECs_3065"	686	562	620	873	773	1492
"ECs_3066"	2292	2278	2501	1493	1777	2237
"ECs_3067"	25003	22994	26588	13904	15737	22488
"ECs_3068"	4235	3979	4613	2129	2450	3199
"ECs_3069"	1056	994	1168	1248	1502	1899
"ECs_3070"	419	417	537	554	600	711
"ECs_3071"	442	385	447	590	566	829
"ECs_3072"	1693	1578	1810	2001	2228	2736
"ECs_3073"	1494	1729	1525	1706	2135	2828
"ECs_3074"	2976	2854	3524	1943	2134	2848
"ECs_3075"	2750	2580	3031	1807	2182	2760
"ECs_3076"	971	976	1210	741	810	990
"ECs_3077"	38022	34086	39111	24853	26035	39606
"ECs_3078"	5645	4456	4907	7150	6497	10193
"ECs_3079"	2434	2221	2457	1827	2231	2625
"ECs_3080"	9383	8420	9621	6631	7579	9510
"proL"	74	94	88	48	67	87
"ECs_3081"	875	721	809	726	860	1093
"ECs_3082"	716	549	631	500	402	874
"ECs_3083"	325	326	409	368	368	537
"ECs_3084"	87	78	102	85	100	136
"ECs_3085"	163	139	158	218	115	227
"ECs_3086"	52	60	72	61	35	73
"ECs_3087"	3	12	11	11	3	4
"ECs_3088"	111	87	89	101	73	125
"ECs_3089"	96	78	105	100	109	120
"ECs_3090"	151	150	198	153	196	171
"ECs_3091"	159	124	143	134	196	204
"ECs_3092"	17	9	15	28	30	30
"ECs_3093"	12	22	18	23	27	33
"ECs_3094"	13	8	9	20	10	15
"ECs_3095"	175	149	184	226	232	299
"ECs_3096"	3	3	5	2	4	4
"ECs_3097"	25	24	31	37	51	61
"ECs_5745"	8	16	6	9	11	19
"ECs_3098"	2771	2459	2477	2080	2042	2885
"ECs_3099"	3576	3203	2739	1540	1171	1717
"ECs_3100"	1082	848	1091	1323	993	1469
"ECs_3101"	263	194	239	315	287	407
"ECs_3102"	786	936	1290	1141	886	945
"ECs_3103"	3222	3008	3458	1065	1214	1645
"ECs_3104"	95074	84220	116879	108848	140334	196312
"ECs_3105"	7256	6103	7053	8394	9520	14285
"ECs_3106"	7443	6475	7270	9327	11435	14180
"ECs_3107"	4937	4384	4861	8932	10125	14746
"ECs_3108"	90	65	79	170	140	226
"ECs_3109"	151	135	180	265	241	370
"ECs_3111"	621	587	682	842	921	1117
"ECs_3112"	53	38	44	34	52	54
"ECs_3113"	191	153	167	120	130	184
"ECs_3114"	30302	22597	23585	32479	27756	47637
"ECs_3115"	2116	2058	2536	3296	3219	4078
"ECs_3116"	647	483	635	628	480	1007
"ECs_3117"	9708	9207	11917	10981	10044	16300
"ECs_3118"	3324	2862	3585	4259	3695	6671
"ECs_3119"	306	336	435	478	438	513
"ECs_3120"	699	531	616	1146	942	1750
"ECs_3121"	135	125	132	148	151	198
"ECs_3122"	30	39	27	117	127	193
"ECs_3123"	11	8	8	26	26	51
"ECs_3124"	413	364	389	3564	3424	5038
"ECs_3125"	123	85	113	3853	3576	4591
"ECs_3126"	88	87	123	955	699	1059
"ECs_3127"	80	79	115	741	681	893
"ECs_3128"	186	152	172	583	582	764
"ECs_3129"	200	177	189	236	247	449
"ECs_3130"	698	627	692	820	922	1323
"ECs_3131"	218	190	207	155	202	207
"ECs_3132"	4	2	3	1	2	3
"ECs_3133"	0	0	0	0	0	0
"ECs_5746"	76	58	76	121	145	170
"ECs_3135"	78	56	65	87	97	156
"ECs_3136"	53	61	52	80	72	122
"ECs_3137"	1799	1495	1885	3839	4591	5641
"ECs_3138"	373	294	369	146	119	183
"ECs_3139"	321	300	491	371	311	433
"ECs_3140"	1502	1584	2280	1116	1295	1897
"ECs_3141"	3593	3289	4711	4513	4891	7246
"ECs_3142"	1437	1324	1777	2412	2566	3929
"ECs_3143"	3230	3050	4495	5925	5478	8683
"ECs_3144"	1263	1259	1710	2047	1910	3013
"ECs_3145"	2350	2133	3078	2670	2683	4554
"ECs_5486"	408	378	498	445	382	723
"ECs_3146"	196	176	271	247	228	417
"ECs_3147"	132	115	187	181	179	252
"ECs_3148"	996	827	1005	1632	1183	1952
"ECs_3149"	947	974	1290	2785	2342	3261
"ECs_3150"	1167	1149	1470	3981	3870	5458
"ECs_3151"	37	61	93	189	104	103
"ECs_3152"	471	530	736	1116	924	1059
"ECs_3153"	1335	1139	1439	3805	4206	5815
"ECs_3154"	527	480	511	14833	15837	24501
"ECs_3155"	392	359	462	1911	1871	3532
"ECs_3156"	1142	1059	1106	1274	1443	2167
"ECs_3157"	69	63	69	119	130	236
"ECs_3159"	82	75	76	59	56	78
"ECs_3160"	8858	11225	13729	8914	8355	8612
"ECs_3161"	8262	8438	9168	8172	7471	9951
"ECs_3162"	5298	5264	5649	5764	4465	6290
"ECs_3163"	157	162	200	244	170	208
"ECs_3164"	1498	1273	1247	1466	1540	2067
"ECs_3165"	1286	1198	1252	1567	1240	1685
"ECs_3166"	4312	4473	4428	4727	4306	5886
"ECs_3167"	14496	16266	17135	18722	17965	22240
"ECs_3168"	3932	3736	4297	6139	4352	7102
"ECs_3169"	1338	1410	1583	2461	1675	2430
"ECs_3170"	9469	10086	10545	14117	14004	18135
"ECs_3171"	7548	8235	7966	9699	10921	13986
"ECs_3172"	4943	6236	6957	7406	6551	8181
"ECs_3173"	1564	1516	1669	934	1104	1329
"ECs_3174"	2195	1863	2419	4922	6123	7681
"ECs_3175"	719	604	754	1018	1260	1609
"ECs_3176"	1480	1187	1449	1311	1310	1887
"ECs_3177"	1050	932	1233	3019	3192	3970
"ECs_3178"	1597	1372	1668	3485	4171	5797
"ECs_3179"	1753	1628	1931	2050	2482	3202
"ECs_3180"	36217	31047	41142	14166	14815	23614
"ECs_3181"	29038	27095	38609	18719	16794	24928
"ECs_3182"	602	539	616	370	362	548
"ECs_3183"	1537	1505	1704	2079	2277	2773
"ECs_3184"	1465	1404	1580	2118	2574	3391
"ECs_3185"	324	287	342	2144	2642	3570
"ECs_3186"	100	70	85	846	868	1279
"ECs_3187"	495	477	497	755	846	1220
"ECs_3188"	934	968	1186	1672	1874	2199
"ECs_3189"	241	199	220	342	407	523
"ECs_3190"	175	157	185	1158	953	1644
"ECs_3191"	166	156	143	894	836	1485
"ECs_3192"	355	296	266	1911	1801	3101
"ECs_3193"	749	669	731	5715	6429	9344
"ECs_3194"	749	705	696	4073	4847	6103
"ECs_3195"	1421	1332	1516	2351	2795	3682
"ECs_3196"	2777	2553	2818	46621	48034	67503
"ECs_3197"	2593	2190	2486	21151	22232	34171
"ECs_3198"	2388	2326	2911	2265	1772	2604
"ECs_3199"	3083	2531	3173	2807	2153	4040
"ECs_3200"	18329	17659	21612	16955	19000	23576
"ECs_3201"	1875	1506	1798	1945	2385	3080
"ECs_3202"	1457	1347	1859	2089	2068	2454
"ECs_3203"	4939	4247	5078	4531	5361	6862
"ECs_3204"	4289	4145	4930	5028	5771	7317
"ECs_3205"	1204	1017	1246	1156	1261	1696
"ECs_3206"	1069	1099	1465	787	797	1002
"ECs_3207"	4005	2698	2968	5772	4075	9887
"ECs_3208"	893	813	1067	1221	1502	1819
"ECs_3209"	1166	1064	1277	818	937	1360
"ECs_3210"	1194	1220	1351	1123	1285	1614
"ECs_3211"	1413	1200	1630	1293	1542	2114
"ECs_3212"	1280	1281	1507	1772	1838	2346
"ECs_3213"	2624	2781	3540	5135	5075	6151
"ECs_3214"	2861	2714	3158	3238	3619	4389
"ECs_3215"	1170	1121	1422	1107	1167	1461
"ECs_3216"	278	248	281	193	235	289
"ECs_3217"	32	37	29	39	31	41
"ECs_3218"	39	35	51	35	51	64
"ECs_3219"	26	21	40	27	35	48
"ECs_3220"	27	30	27	31	31	44
"ECs_3221"	128	119	161	165	143	185
"ECs_3222"	38	26	24	22	22	36
"ECs_3223"	7987	6106	6854	5845	4646	10024
"ECs_3224"	415	355	338	1354	1169	1750
"ECs_3225"	141	150	192	614	537	728
"ECs_3226"	240	160	173	302	333	457
"ECs_3227"	15419	13625	18061	11694	13170	19766
"ECs_3228"	134	105	168	61	77	127
"ECs_3229"	2105	1879	2189	3403	3634	5571
"ECs_3230"	169	129	157	497	517	848
"argW"	82	65	83	40	49	63
"ECs_3231"	428	373	423	277	366	505
"ECs_3232"	56	58	72	95	118	126
"ECs_3233"	57	44	47	59	83	100
"ECs_3234"	29	21	30	40	53	80
"ECs_3235"	56	61	40	81	72	94
"ECs_3236"	73	51	61	77	74	108
"ECs_3238"	388	362	410	538	608	927
"ECs_3239"	196	198	266	182	241	298
"ECs_3240"	185	156	192	119	153	245
"ECs_3241"	276	229	244	229	220	344
"ECs_3242"	60	58	48	47	54	87
"ECs_3243"	726	553	616	553	446	785
"ECs_3244"	3399	3036	3390	3248	3260	4881
"ECs_5747"	52	38	67	118	145	215
"ECs_3245"	392	315	354	627	497	912
"ECs_3246"	115	121	130	71	86	140
"ECs_3247"	26	14	16	32	39	46
"ECs_3248"	294	292	345	420	503	845
"ECs_3249"	907	786	1002	965	1014	1748
"ECs_3250"	142	128	128	114	131	171
"ECs_3252"	57	51	42	47	50	61
"ECs_3253"	90	97	94	107	106	142
"ECs_3254"	88	78	86	76	114	147
"ECs_3255"	50	28	41	50	43	71
"ECs_3256"	23	15	30	21	11	47
"ECs_3257"	89	63	94	146	115	229
"ECs_3258"	12382	11313	14190	10499	13489	13458
"ECs_3259"	732	645	803	2184	2673	3116
"ECs_3260"	1768	1557	1978	1077	1255	1712
"ECs_3261"	906	827	1026	843	840	1402
"ECs_3262"	607	584	701	626	635	894
"ECs_3263"	311	307	410	300	329	425
"ECs_3264"	30	32	46	51	50	40
"ECs_3265"	46	54	38	79	63	99
"ECs_3266"	57	52	68	94	75	117
"ECs_3267"	11	11	9	19	31	37
"ECs_3268"	342	245	268	1449	1240	1974
"ECs_3269"	343	339	348	966	941	1307
"ECs_3270"	995	870	876	3172	5352	4097
"ECs_3271"	949	767	787	2356	2640	3271
"ECs_3272"	4042	3732	4277	17932	19968	28037
"ECs_3273"	5036	4770	5510	2460	2575	4031
"alaX"	387	400	463	83	95	141
"alaW"	56	65	83	9	25	46
"ECs_3274"	772	793	895	1016	1269	1774
"ECs_3275"	657	560	728	730	991	1225
"ECs_3276"	1439	1350	1613	953	1130	1450
"ECs_3277"	1116	971	1040	737	898	1192
"ECs_3278"	9659	9139	10689	14163	15026	20998
"valU"	125	146	195	54	44	154
"valX"	622	589	797	265	203	652
"valY"	22	15	28	7	12	36
"lysV"	42	37	62	18	16	20
"ECs_3279"	288	307	249	252	380	311
"ECs_3280"	675	633	736	834	1012	1210
"ECs_3282"	679	550	689	1143	1203	1677
"ECs_5748"	104	81	102	113	129	205
"ECs_3283"	3281	2855	3680	4148	4273	6327
"ECs_3284"	4505	4279	5393	6825	7718	10058
"ECs_3285"	1488	1319	1462	1387	1755	2022
"ECs_3286"	1775	1713	1927	73885	107247	150224
"ECs_3287"	7401	6748	7562	13053	14987	19556
"ECs_3288"	23842	21788	24570	48097	51139	73613
"ECs_3289"	11829	10529	11681	23149	25915	35928
"ECs_3290"	1366	1212	1582	2607	3137	4568
"ECs_3291"	211	213	220	506	460	869
"ECs_3292"	242	205	226	4009	4481	7996
"ECs_3293"	116	169	231	15485	14012	16383
"ECs_3294"	210	176	251	8504	10775	16189
"ECs_3295"	88	86	106	5718	6282	11090
"ECs_3296"	174	153	154	13797	15052	32260
"ECs_3297"	364	352	509	2026	1793	1951
"ECs_3298"	79	57	68	174	175	281
"ECs_3299"	103	85	66	242	214	338
"ECs_3300"	115	133	129	279	208	326
"ECs_3301"	272	245	264	367	328	482
"ECs_3302"	4014	3843	4096	3695	3758	4574
"ECs_3303"	2312	2004	2491	5098	5186	7077
"ECs_3304"	293	191	243	323	227	504
"ECs_3305"	591	404	490	780	596	1230
"ECs_3306"	1481	1270	1437	857	999	1339
"ECs_3307"	467	486	577	516	439	471
"ECs_3308"	161	180	165	261	286	372
"ECs_3309"	35	36	65	165	159	208
"ECs_3310"	58	64	82	184	189	221
"ECs_3311"	44	52	70	165	130	181
"ECs_3312"	75	63	72	308	266	389
"ECs_3313"	27	34	46	114	76	109
"ECs_3314"	50	64	65	139	123	188
"ECs_3315"	11	12	16	22	14	13
"ECs_3316"	5	9	10	13	10	18
"ECs_3317"	8	11	19	28	16	29
"ECs_3318"	1	2	2	0	0	4
"ECs_3319"	9	8	7	20	14	19
"ECs_3320"	6	6	12	16	9	14
"ECs_3321"	8	16	14	21	24	10
"ECs_3322"	20	15	12	17	19	23
"ECs_3323"	11	6	6	7	9	10
"ECs_3324"	3	3	1	7	5	10
"ECs_3325"	1127	911	1034	4652	3994	5613
"ECs_3326"	269	246	258	5657	6037	8080
"ECs_3327"	480	430	487	9644	7886	12034
"ECs_3328"	392	391	465	1126	1071	894
"ECs_3329"	294	239	324	588	555	909
"ECs_3330"	145	134	173	236	216	288
"ECs_3331"	768	741	916	791	877	1275
"ECs_3332"	906	839	1046	822	772	1186
"ECs_3333"	226	171	221	83	131	131
"ECs_3334"	3553	3620	4387	2350	2355	2791
"ECs_5749"	669	540	658	761	873	1127
"ECs_3335"	471	412	521	2156	1636	1281
"ECs_3336"	933	774	949	1649	1432	2127
"ECs_3337"	882	724	862	2791	2255	3675
"ECs_3338"	974	875	963	22668	21446	32451
"ECs_3339"	9854	9981	12450	17738	16683	21182
"ECs_3340"	11178	10240	12272	17137	18334	25109
"ECs_3341"	693	704	901	2015	2488	3185
"ECs_3342"	1802	1716	2075	3107	4102	5719
"ECs_3343"	51	50	62	66	68	84
"ECs_3344"	90	87	103	143	146	212
"ECs_3345"	22	13	6	20	21	53
"ECs_3346"	54	67	71	87	77	110
"ECs_3347"	65	69	83	84	94	134
"ECs_3348"	179	186	211	198	190	260
"ECs_3349"	170	150	176	265	230	300
"ECs_3350"	30	44	31	63	50	76
"ECs_3351"	32	42	60	83	42	79
"ECs_3352"	13	5	8	15	9	26
"ECs_3353"	182	139	155	233	214	397
"ECs_3354"	373	324	380	374	396	568
"ECs_3355"	1770	1574	1703	1980	2250	2901
"ECs_3356"	1096	1050	1322	3442	3293	4375
"ECs_3357"	802	651	773	1365	1420	2065
"ECs_3358"	2146	1802	2084	2471	2000	4155
"ECs_3359"	1931	1708	2230	9854	8151	18936
"ECs_3360"	5473	4945	5621	18967	17301	34066
"ECs_3361"	1149	1092	1162	33681	33906	50047
"ECs_3362"	610	621	754	12490	10172	13504
"ECs_3363"	3739	3194	3901	7821	8631	11804
"ECs_3364"	2490	2329	2665	4988	5577	7554
"ECs_3365"	490	423	457	515	602	751
"ECs_3366"	857	789	1018	1357	1705	2510
"ECs_3367"	38	44	46	44	56	65
"ECs_3368"	214	200	240	230	280	397
"ECs_3369"	14725	12098	14591	23395	23954	35631
"ECs_3370"	5031	4151	5275	10654	8811	14574
"ECs_3371"	3356	3591	4507	3290	3451	4135
"ECs_3372"	811	683	725	489	555	837
"ECs_3373"	18479	15753	18026	9937	10251	14619
"ECs_3374"	16667	14247	17311	15337	13835	21377
"ECs_3375"	6320	5409	5994	5363	5322	8056
"ECs_3376"	16740	15466	17926	12217	12795	16543
"ECs_3377"	12352	12157	14067	8806	10365	12306
"ECs_3378"	13633	13009	14839	11214	12481	15395
"ECs_3379"	23287	23125	24056	11944	12344	16685
"ECs_3380"	6845	8614	9919	12174	10403	14780
"ECs_3381"	230	176	202	231	300	400
"ECs_3382"	273	214	281	342	330	531
"ECs_3383"	107	82	85	126	110	182
"ECs_3384"	204	186	193	218	213	328
"ECs_3385"	283	329	414	426	447	566
"ECs_3386"	2710	2287	2985	4256	4836	6824
"ECs_3387"	779	678	771	1878	1733	2852
"ECs_3388"	1149	1040	1252	1543	1584	2180
"ECs_3389"	2947	2647	3332	4608	3675	5124
"ECs_3390"	753	684	696	860	905	1242
"ECs_3391"	1057	874	1005	1197	1361	1803
"ECs_3392"	3040	3281	4668	4131	3298	3728
"ECs_3393"	2010	1796	2013	1715	2016	2628
"ECs_3394"	2660	2281	2538	2655	3142	4047
"ECs_3395"	2035	1829	1951	1848	2267	2748
"ECs_3396"	5620	5327	6642	5708	6712	7164
"ECs_3397"	2734	2365	2875	3075	4459	4758
"ECs_3398"	5222	4581	5244	2922	2871	3898
"ECs_3399"	25518	25127	32030	13679	13236	19735
"ECs_3400"	905	868	949	350	445	608
"ECs_3401"	794	648	770	1014	1102	1644
"ECs_3402"	1250	1198	1562	1305	1132	1406
"ECs_3403"	100	63	67	171	187	276
"ECs_3404"	78	63	70	64	77	105
"ECs_3405"	12	26	18	26	19	25
"ECs_3406"	22	14	15	15	8	15
"ECs_3407"	36	57	53	69	45	62
"ECs_3408"	90	116	132	154	181	203
"ECs_3409"	44	39	47	647	718	1215
"ECs_3410"	60	51	50	116	124	170
"ECs_3411"	77	52	69	96	109	125
