"gene_id","gene_name"
"ECs5734","ECs5734"
"ynfA",NA
"ynfD",NA
"clcB",NA
"ECs2303","ECs2303"
"ydgD",NA
"pntB",NA
"pntA",NA
"ydgI",NA
"tus",NA
"fumC",NA
"fumA",NA
"ydgA",NA
"hdhA",NA
"malX",NA
"add",NA
"rsxA",NA
"rsxB",NA
"rsxC",NA
"rsxD",NA
"rsxG",NA
"rsxE",NA
"nth",NA
"dtpA",NA
"gst",NA
"ydhJ",NA
"sodC",NA
"ydhF",NA
"ydhL",NA
"gloA",NA
"ydhC",NA
"cfa",NA
"ydhQ",NA
"valW",NA
"ydhS",NA
"sufE",NA
"sufS",NA
"sufD",NA
"sufC",NA
"sufB",NA
"sufA",NA
"aroD",NA
"ppsA",NA
"ppsR",NA
"btuD",NA
"btuE",NA
"rplT",NA
"espL1",NA
"ydiY",NA
"pfkB",NA
"ydiZ",NA
"yniA",NA
"ydjM",NA
"ydjN",NA
"ydjO",NA
"katE",NA
"osmE",NA
"nadE",NA
"spy",NA
"astC",NA
"gdhA",NA
"ECs2477","ECs2477"
"ydjH",NA
"ydjI",NA
"ydjJ",NA
"ydjK",NA
"ydjL",NA
"yeaC",NA
"msrB",NA
"gapA",NA
"yeaD",NA
"yeaG",NA
"yeaH",NA
"yeaJ",NA
"yeaL",NA
"yeaQ",NA
"leuE",NA
"dmlR",NA
"dmlA",NA
"yeaV",NA
"yeaW",NA
"rnd",NA
"fadD",NA
"tsaB",NA
"tdcG1",NA
"manX",NA
"manY",NA
"manZ",NA
"yobD",NA
"mntP",NA
"cspC",NA
"yobH",NA
"yebQ",NA
"htpX",NA
"yebV",NA
"yebW",NA
"pphA2",NA
"yebE",NA
"purT",NA
"edd",NA
"pykA",NA
"yecT",NA
"cheZ",NA
"cheY",NA
"cheB",NA
"cheR",NA
"tap",NA
"tsr1",NA
"cheW",NA
"cheA",NA
"flhC",NA
"flhD",NA
"uspC",NA
"otsA",NA
"otsB",NA
"yecJ",NA
"yecH",NA
"tyrP",NA
"leuZ",NA
"yecF",NA
"yecC",NA
"yecS",NA
"dcyD",NA
"fliY",NA
"fliZ",NA
"fliC",NA
"fliD",NA
"fliS",NA
"amyA",NA
"yedK",NA
"yodD",NA
"yedP",NA
"yodC",NA
"hchA",NA
"yedY",NA
"ECs2741","ECs2741"
"ECs2749","ECs2749"
"ileZ7",NA
"ECs2752","ECs2752"
"mtfA",NA
"amn",NA
"asnW",NA
"asnU",NA
"cbl",NA
"nac",NA
"asnV",NA
"ldtA",NA
"dacD",NA
"yeeD",NA
"yeeE",NA
"hisL",NA
"hisG",NA
"hisD",NA
"hisC",NA
"hisB",NA
"hisH",NA
"hisA",NA
"hisF",NA
"udk",NA
"yegD",NA
"yegP",NA
"yegQ",NA
"yegS",NA
"fbaB",NA
"yegX",NA
"rcnA",NA
"yehL",NA
"yehU",NA
"yehX",NA
"yehY",NA
"osmF",NA
"yohC",NA
"dusC",NA
"ECs3027","ECs3027"
"mglC",NA
"mglA",NA
"mglB",NA
"galS",NA
"folE",NA
"setB",NA
"yeiP",NA
"yeiQ2",NA
"mepS",NA
"rtn",NA
"mqo",NA
"apbE",NA
"yfaH",NA
"ECs3123","ECs3123"
"glpQ",NA
"glpT",NA
"glpA",NA
"glpB",NA
"glpC",NA
"yfaZ",NA
"menB",NA
"menF",NA
"elaB",NA
"elaA",NA
"lrhA",NA
"yfbT",NA
"ackA",NA
"pta",NA
"yfcC",NA
"yfcF",NA
"yfcG",NA
"hisP",NA
"hisM",NA
"hisQ",NA
"hisJ",NA
"argT",NA
"purF",NA
"cvpA",NA
"yfcJ",NA
"fadJ",NA
"fadI",NA
"yfdF",NA
"yfdC",NA
"argW",NA
"ECs5747","ECs5747"
"alaC",NA
"glk",NA
"yfeO",NA
"ypeC",NA
"mntH",NA
"nupC",NA
"yfeA",NA
"alaX",NA
"alaW",NA
"valU",NA
"valX",NA
"lysV",NA
"cysK",NA
"cysM",NA
"cysA",NA
"cysW",NA
"cysU",NA
"cysP",NA
"ucpA",NA
"murR",NA
"murQ",NA
"eutK",NA
"eutB",NA
"maeB",NA
"talA",NA
"tktB",NA
"yffB",NA
"dapE",NA
"ypfH",NA
"ypfJ",NA
"purC",NA
"gcvR",NA
"ECs3356","ECs3356"
"uraA",NA
"upp",NA
"purM",NA
"purN",NA
"der",NA
"rlmN",NA
"trmJ",NA
"suhB",NA
"yfhR",NA
"yphA",NA
"glyA",NA
"purL",NA
"mltF",NA
"tadA",NA
"yfhH",NA
"yfhL",NA
"nadB",NA
"yfiP",NA
"gltW",NA
"raiA",NA
"pheL",NA
"yfiL",NA
"yfiR",NA
"rplS",NA
"trmD",NA
"rimM",NA
"rpsP",NA
"grpE",NA
"ECs3483","ECs3483"
"nleG8-2",NA
"espW",NA
"ECs3500","ECs3500"
"csiD",NA
"lhgO",NA
"gabD",NA
"gabT",NA
"gabP",NA
"csiR",NA
"ygaU",NA
"yqaE",NA
"alaE",NA
"ygaM",NA
"ECs3535","ECs3535"
"proX",NA
"mprA",NA
"emrA",NA
"emrY",NA
"luxS",NA
"argQ",NA
"argZ",NA
"argY",NA
"argV",NA
"serV",NA
"srlA",NA
"srlB",NA
"srlD",NA
"srlM",NA
"fhlA",NA
"kpdC",NA
"rpoS",NA
"cysC",NA
"cysN",NA
"cysD",NA
"small",NA
"cysH",NA
"cysI",NA
"cysJ",NA
"queD",NA
"ygcN",NA
"queE",NA
"ECs3638","ECs3638"
"ygdH",NA
"ygdI",NA
"tcdA",NA
"metZ",NA
"metW",NA
"metV",NA
"amiC",NA
"argA",NA
"ygdR",NA
"tas",NA
"lysA",NA
"kduD",NA
"yqeF",NA
"ECs3702","ECs3702"
"yqeI",NA
"yqeJ",NA
"ygeF",NA
"ECs3712","ECs3712"
"etrA",NA
"eprS",NA
"ECs3737","ECs3737"
"glyU",NA
"mocA",NA
"prfB",NA
"gcvP",NA
"gcvH",NA
"gcvT",NA
"serA",NA
"rpiA",NA
"yggE",NA
"mscS",NA
"fbaA",NA
"yqgB",NA
"yqgD",NA
"metK",NA
"galP2",NA
"yggI",NA
"endA",NA
"nupG",NA
"pheV",NA
"ECs3864","ECs3864"
"ECs3867","ECs3867"
"ECs3868","ECs3868"
"yghU",NA
"hybO",NA
"yghX",NA
"gpr",NA
"yghA",NA
"metC",NA
"dkgA",NA
"yqhH",NA
"ygiQ",NA
"ygiV",NA
"ygiW",NA
"fitC",NA
"ygiB",NA
"ygiC",NA
"ygiD",NA
