ECs0241	37	15	22
ECs0242	211	110	102
ECs0243	0	0	0
ECs0244	14	9	5
ECs0245	63	35	31
ECs0246	370	174	199
ECs0247	142	78	76
ECs0248	642	313	341
ECs0249	1015	500	515
ECs0250	1195	1131	1131
ECs0251	4450	2864	2654
ECs0252	425	199	226
ECs0253	550	297	254
ECs0254	80	42	39
ECs0255	134	78	56
ECs0256	113	58	62
ECs0257	32	15	22
ECs0258	275	141	134
ECs0259	83	35	48
ECs0260	75	36	39
ECs0261	53	32	21
ECs0262	12	5	7
ECs0263	334	329	307
ECs0264	8808	4647	4463
ECs0265	8031	3968	4065
ECs0266	1844	969	875
ECs0267	2900	1582	1447
ECs0268	328	221	238
ECs0269	2096	1065	1033
ECs0270	2097	1048	1051
thrW	44	202	193
ECs0271	1210	782	784
ECs0272	48	27	21
ECs0273	988	492	496
ECs0274	5899	2932	2988
ECs0275	44	24	40
ECs0276	120	50	70
ECs0277	37	18	19
ECs0279	1	0	1
ECs0280	32	19	13
ECs0281	25	23	18
ECs0282	17	15	18
ECs0283	6	6	5
ECs0284	58	61	57
ECs0285	1685	886	856
ECs0287	25	12	19
ECs0288	56	28	35
ECs0289	122	60	62
ECs0290	1	1	0
ECs0291	2	1	1
ECs0292	0	0	0
ECs0293	13	7	6
ECs0296	109	49	60
ECs0297	64	28	37
ECs0298	16	7	9
ECs0299	8	7	1
ECs0300	216	121	95
ECs0301	12	9	3
ECs0302	66	31	36
ECs0303	329	170	160
ECs0304	402	228	175
ECs0305	350	184	167
ECs0306	70	38	33
ECs0307	7	4	3
ECs0309	528	249	281
ECs0310	49	24	26
ECs0311	102	56	51
ECs0313	91	50	45
ECs0314	82	47	35
ECs0315	9	8	2
ECs0316	40	17	23
ECs0317	518	261	257
ECs0319	137	63	75
ECs0320	425	216	210
ECs0321	531	260	274
ECs0322	166	82	84
ECs0323	416	210	207
ECs0324	170	88	82
ECs0326	20	16	16
ECs5701	20	19	13
ECs0327	142	66	76
ECs0328	12	5	7
ECs0329	0	0	0
ECs0330	13	6	9
ECs0331	43	20	23
ECs0332	88	42	46
ECs0333	262	144	118
ECs0334	356	170	186
ECs0335	55	20	35
ECs0336	242	133	111
ECs0337	478	257	223
ECs0338	115	62	53
ECs0340	11	6	5
ECs0342	50	26	24
ECs0343	112	54	58
ECs0344	43	21	23
ECs0345	55	29	26
ECs0346	51	23	29
ECs0348	3	3	0
ECs0349	7	4	3
ECs0350	9	5	4
ECs0351	27	16	11
ECs0352	52	31	21
ECs0355	47	28	20
ECs0356	0	0	0
ECs0357	869	443	427
ECs0358	1049	560	489
ECs0359	598	302	296
ECs0360	1161	590	572
ECs0362	328	151	178
ECs0363	347	197	180
ECs0364	175	113	92
ECs0366	3	1	2
ECs0367	15	10	5
ECs0368	11	4	7
ECs0369	26	14	12
ECs0370	26	12	15
ECs0371	19	12	7
ECs0372	49	24	25
ECs0373	142	62	81
ECs5377	14	9	5
ECs0374	124	60	64
ECs0375	166	89	78
ECs0377	118	56	62
ECs0378	1072	533	540
ECs0379	852	445	408
ECs0380	54	26	28
ECs0382	62	33	31
ECs0383	275	151	136
ECs0384	54	40	27
ECs0385	126	69	58
ECs0386	98	44	54
ECs0387	97	54	43
ECs0388	135	59	76
ECs0389	237	117	121
ECs0390	679	339	357
ECs0391	277	149	148
ECs0392	53	32	25
ECs0393	23	13	10
ECs0394	87	45	46
ECs0395	94	43	56
ECs0396	77	41	36
ECs0397	448	225	224
ECs0398	843	429	415
ECs0399	160	83	77
ECs0400	154	69	85
ECs0401	37	23	15
ECs0402	24	14	10
ECs0403	33	20	13
ECs0404	35	21	14
ECs0405	16	10	6
ECs0406	32	12	20
ECs0407	28	15	14
ECs0408	72	37	35
ECs0409	633	350	315
ECs0410	804	441	400
ECs0411	1521	764	757
ECs0412	348	170	178
ECs0413	248	117	131
ECs0414	232	113	122
ECs0415	157	84	73
ECs0416	268	140	129
ECs0417	67	25	42
ECs0418	28	12	16
ECs0419	48	20	28
ECs0420	23	14	15
ECs0421	16	9	8
ECs0422	138	97	92
ECs0423	3010	1560	1501
ECs0424	1184	636	548
ECs0425	50	35	37
ECs0426	680	355	348
ECs0427	456	226	231
